,Driver,TeamName_x,GridPosition,Finish_Position,Status,delta_to_pole,Qual_Position,Year,Location,fp2_median_pace,fp2_team_dif,fp2_deg_rate
134,LAT,Williams,19.0,15.0,+1 Lap,3.027000000000001,19.0,2022,Monaco,81.158,3.0150000000000006,-1.2016325548169917
135,ZHO,Alfa Romeo,20.0,16.0,+1 Lap,4.22999999999999,20.0,2022,Monaco,78.037,-1.5124999999999886,1.7068541666666686
136,TSU,AlphaTauri,11.0,17.0,+1 Lap,1.4209999999999923,11.0,2022,Monaco,90.589,9.628,3.986865502371694
137,ALB,Williams,16.0,18.0,Mechanical,2.2349999999999994,16.0,2022,Monaco,78.143,-3.0150000000000006,0.7812219690858013
138,MSC,Haas F1 Team,15.0,19.0,Accident,1.7049999999999983,15.0,2022,Monaco,81.291,0.7299999999999898,0.918171604247448
139,MAG,Haas F1 Team,13.0,20.0,Water pressure,1.5450000000000017,13.0,2022,Monaco,80.561,-0.7299999999999898,0.3952949698083256
140,VER,Red Bull Racing,3.0,1.0,Finished,0.3470000000000084,3.0,2022,Baku,107.078,-0.5210000000000008,-0.18299999999998098
141,PER,Red Bull Racing,2.0,2.0,Finished,0.2820000000000107,2.0,2022,Baku,107.599,0.5210000000000008,1.2197110169491496
142,RUS,Mercedes,5.0,3.0,Finished,1.3530000000000086,5.0,2022,Baku,109.092,-0.6070000000000135,0.09118974358974181
143,HAM,Mercedes,7.0,4.0,Finished,1.565000000000012,7.0,2022,Baku,109.69900000000001,0.6070000000000135,2.9011358024691343
144,GAS,AlphaTauri,6.0,5.0,Finished,1.4860000000000042,6.0,2022,Baku,110.352,1.2079999999999984,-0.06407967032966819
145,VET,Aston Martin,9.0,6.0,Finished,1.7319999999999993,9.0,2022,Baku,110.0185,-0.04649999999999466,-4.166197402597399
146,ALO,Alpine,10.0,7.0,Finished,1.8140000000000072,10.0,2022,Baku,109.62,-0.4350000000000023,-0.4362054794520609
147,RIC,McLaren,12.0,8.0,Finished,2.2150000000000034,12.0,2022,Baku,111.94999999999999,1.7734999999999843,2.56188055458055
148,NOR,McLaren,11.0,9.0,Finished,2.0390000000000015,11.0,2022,Baku,110.1765,-1.7734999999999843,3.014984596273293
149,OCO,Alpine,13.0,10.0,Finished,2.225999999999999,13.0,2022,Baku,110.055,0.4350000000000023,-2.7109132627646337
150,BOT,Alfa Romeo,15.0,11.0,+1 Lap,3.085000000000008,15.0,2022,Baku,109.344,-1.3850000000000051,-0.667366666666664
151,ALB,Williams,17.0,12.0,+1 Lap,3.3599999999999994,17.0,2022,Baku,107.475,-4.425000000000011,-8.918399999999984
152,TSU,AlphaTauri,8.0,13.0,+1 Lap,1.6970000000000027,8.0,2022,Baku,109.144,-1.2079999999999984,-0.08675324675323669
153,MSC,Haas F1 Team,20.0,14.0,+1 Lap,4.416000000000011,20.0,2022,Baku,111.239,0.8260000000000076,0.17885714285715398
154,LAT,Williams,18.0,15.0,+1 Lap,4.00800000000001,18.0,2022,Baku,111.9,4.425000000000011,2.9535769230769255
155,STR,Aston Martin,19.0,16.0,Vibrations,4.0120000000000005,19.0,2022,Baku,110.065,0.04649999999999466,-0.19732326369282757
156,MAG,Haas F1 Team,16.0,17.0,Power Unit,3.284000000000006,16.0,2022,Baku,110.413,-0.8260000000000076,1.7238513513513518
157,ZHO,Alfa Romeo,14.0,18.0,Hydraulics,2.4310000000000116,14.0,2022,Baku,110.729,1.3850000000000051,0.42256428571429083
158,LEC,Ferrari,1.0,19.0,Power Unit,0.0,1.0,2022,Baku,107.84,-0.26899999999999125,1.8338720930232566
159,SAI,Ferrari,4.0,20.0,Hydraulics,0.4549999999999983,4.0,2022,Baku,108.109,0.26899999999999125,2.5487611940298533
160,VER,Red Bull Racing,1.0,1.0,Finished,0.0,1.0,2022,Montréal,78.521,-0.04599999999999227,0.630719181585677
161,SAI,Ferrari,3.0,2.0,Finished,0.796999999999997,3.0,2022,Montréal,78.15,-0.6564999999999941,1.9273057142857144
162,HAM,Mercedes,4.0,3.0,Finished,1.5919999999999987,4.0,2022,Montréal,81.63650000000001,2.816500000000019,-0.5979923076923066
163,RUS,Mercedes,8.0,4.0,Finished,2.2579999999999956,8.0,2022,Montréal,78.82,-2.816500000000019,1.7920398809523828
164,LEC,Ferrari,19.0,5.0,Finished,11.708999999999989,15.0,2022,Montréal,78.8065,0.6564999999999941,-0.25207823129251417
165,OCO,Alpine,7.0,6.0,Finished,2.2299999999999898,7.0,2022,Montréal,78.79650000000001,0.7270000000000039,3.1699483134920565
166,BOT,Alfa Romeo,11.0,7.0,Finished,5.48899999999999,11.0,2022,Montréal,,,
167,ZHO,Alfa Romeo,10.0,8.0,Finished,2.7309999999999945,10.0,2022,Montréal,79.1875,,1.2592890977443618
168,ALO,Alpine,2.0,9.0,Finished,0.644999999999996,2.0,2022,Montréal,78.0695,-0.7270000000000039,0.22813756613757707
169,STR,Aston Martin,17.0,10.0,Finished,14.23299999999999,18.0,2022,Montréal,79.18,0.5940000000000083,0.09228465651995583
170,RIC,McLaren,9.0,11.0,Finished,2.4499999999999886,9.0,2022,Montréal,79.262,0.4019999999999868,-0.17840833333333556
171,VET,Aston Martin,16.0,12.0,Finished,13.212999999999994,17.0,2022,Montréal,78.586,-0.5940000000000083,2.7890289115646256
172,ALB,Williams,12.0,13.0,Finished,5.5589999999999975,12.0,2022,Montréal,79.687,-0.987000000000009,1.0018696757787688
173,GAS,AlphaTauri,15.0,14.0,Finished,13.192999999999998,16.0,2022,Montréal,79.46549999999999,-0.9964999999999975,0.44096301020408263
174,NOR,McLaren,14.0,15.0,Finished,12.766999999999996,14.0,2022,Montréal,78.86000000000001,-0.4019999999999868,0.07860389610389787
175,LAT,Williams,18.0,16.0,Finished,14.36099999999999,19.0,2022,Montréal,80.674,0.987000000000009,1.3613360756890212
176,MAG,Haas F1 Team,5.0,17.0,Finished,1.6609999999999872,5.0,2022,Montréal,79.602,-0.5159999999999911,1.0142482142857125
177,TSU,AlphaTauri,20.0,18.0,Accident,15.275999999999996,20.0,2022,Montréal,80.46199999999999,0.9964999999999975,0.7473249417249404
178,MSC,Haas F1 Team,6.0,19.0,Engine,2.056999999999988,6.0,2022,Montréal,80.118,0.5159999999999911,0.6956389748182835
179,PER,Red Bull Racing,13.0,20.0,Gearbox,11.827999999999989,13.0,2022,Montréal,78.567,0.04599999999999227,3.621645332927942
180,SAI,Ferrari,1.0,1.0,Finished,0.0,1.0,2022,Silverstone,93.74,-0.12700000000000955,0.05696857142857512
181,PER,Red Bull Racing,4.0,2.0,Finished,0.6329999999999956,4.0,2022,Silverstone,91.69,-1.902000000000001,
182,HAM,Mercedes,5.0,3.0,Finished,1.0120000000000005,5.0,2022,Silverstone,94.636,0.0589999999999975,1.7816917582417586
183,LEC,Ferrari,3.0,4.0,Finished,0.3149999999999977,3.0,2022,Silverstone,93.867,0.12700000000000955,1.3810722222222216
184,ALO,Alpine,7.0,5.0,Finished,1.1329999999999956,7.0,2022,Silverstone,97.159,4.830500000000015,0.9356041666666773
185,NOR,McLaren,6.0,6.0,Finished,1.100999999999999,6.0,2022,Silverstone,94.711,-0.1419999999999959,0.7197042957042947
186,VER,Red Bull Racing,2.0,7.0,Finished,0.07200000000000273,2.0,2022,Silverstone,93.592,1.902000000000001,-0.5204171428571432
187,MSC,Haas F1 Team,19.0,8.0,Finished,1.7249999999999943,19.0,2022,Silverstone,95.271,-0.09600000000000364,0.6953065217391348
188,VET,Aston Martin,18.0,9.0,Finished,1.6829999999999927,18.0,2022,Silverstone,94.5325,2.359499999999997,2.7414468864468913
189,MAG,Haas F1 Team,17.0,10.0,Finished,1.176000000000002,17.0,2022,Silverstone,95.367,0.09600000000000364,2.218266666666673
190,STR,Aston Martin,20.0,11.0,Finished,2.4470000000000027,20.0,2022,Silverstone,92.173,-2.359499999999997,0.48708333333333675
191,LAT,Williams,10.0,12.0,Finished,22.111999999999995,10.0,2022,Silverstone,96.039,-9.117999999999995,1.2852275132275126
192,RIC,McLaren,14.0,13.0,Finished,3.372,14.0,2022,Silverstone,94.853,0.1419999999999959,1.7810133053221315
193,TSU,AlphaTauri,13.0,14.0,Finished,3.328000000000003,13.0,2022,Silverstone,95.607,0.23349999999999227,0.6282217391304432
194,OCO,Alpine,15.0,15.0,Fuel pump,4.206999999999994,15.0,2022,Silverstone,92.32849999999999,-4.830500000000015,-0.3973999999999849
195,GAS,AlphaTauri,11.0,16.0,Collision damage,2.718999999999994,11.0,2022,Silverstone,95.3735,-0.23349999999999227,0.3281339531680474
196,BOT,Alfa Romeo,12.0,17.0,Gearbox,3.2489999999999952,12.0,2022,Silverstone,94.80250000000001,-0.1979999999999933,1.067150000000008
197,RUS,Mercedes,8.0,18.0,Collision,1.1779999999999973,8.0,2022,Silverstone,94.577,-0.0589999999999975,-0.06657142857143017
198,ZHO,Alfa Romeo,9.0,19.0,Collision,1.73599999999999,9.0,2022,Silverstone,95.0005,0.1979999999999933,1.6575166666666714
199,ALB,Williams,16.0,20.0,Collision,1.0949999999999989,16.0,2022,Silverstone,105.157,9.117999999999995,-0.46200000000000513
200,LEC,Ferrari,2.0,1.0,Finished,0.029000000000010573,2.0,2022,Spielberg,69.825,-0.1039999999999992,0.05578547174387608
