,Driver,TeamName_x,GridPosition,Finish_Position,Status,Median_lap_time,team_dif,Deg_Rate_Weighted,delta_to_pole,Qual_Position,Year,Location,dnf,fp2_median_pace,fp2_team_dif,fp2_deg_rate
444,HAM,Mercedes,7.0,5.0,Finished,98.304,0.3810000000000002,0.011932859301592661,0.6760000000000019,7.0,2023,Sakhir,False,98.38499999999999,0.17049999999998988,0.09466363636363674
445,STR,Aston Martin,8.0,6.0,Finished,98.11,0.17900000000000205,0.044712419231804676,1.1280000000000001,8.0,2023,Sakhir,False,98.432,0.953000000000003,1.398586666666666
446,RUS,Mercedes,6.0,7.0,Finished,97.923,-0.3810000000000002,0.025788081633498036,0.632000000000005,6.0,2023,Sakhir,False,98.2145,-0.17049999999998988,0.17896666666666763
447,BOT,Alfa Romeo,12.0,8.0,Finished,98.098,-1.0309999999999917,0.02856860667848128,1.7349999999999994,12.0,2023,Sakhir,False,98.519,-0.744499999999988,1.8192607142857216
448,GAS,Alpine,20.0,9.0,Finished,98.133,-1.3990000000000151,0.08038762646382555,2.472999999999999,20.0,2023,Sakhir,False,98.126,-0.35199999999998965,1.0159909090909056
449,ALB,Williams,15.0,10.0,Finished,98.159,-0.8515000000000015,0.0674881243577103,1.7530000000000001,15.0,2023,Sakhir,False,97.764,-0.6450000000000102,1.3995384615384618
450,TSU,AlphaTauri,14.0,11.0,Finished,98.147,-0.9914999999999878,0.0648071653836347,2.8020000000000067,14.0,2023,Sakhir,False,98.922,0.12350000000000705,-0.12667293233082755
451,SAR,Williams,16.0,12.0,Lapped,99.01050000000001,0.8515000000000015,0.08308182683329957,1.9440000000000026,16.0,2023,Sakhir,False,98.409,0.6450000000000102,1.6965419580419578
452,MAG,Haas F1 Team,17.0,13.0,Lapped,98.686,0.17500000000001137,0.11820866008990934,2.1839999999999975,17.0,2023,Sakhir,False,100.327,1.5054999999999978,2.8777000000000053
453,DEV,AlphaTauri,19.0,14.0,Lapped,99.1385,0.9914999999999878,0.08423483786180957,2.4129999999999967,19.0,2023,Sakhir,False,98.79849999999999,-0.12350000000000705,-0.7534016806722675
454,HUL,Haas F1 Team,10.0,15.0,Lapped,98.511,-0.17500000000001137,0.10176870941558624,1.100999999999999,10.0,2023,Sakhir,False,98.8215,-1.5054999999999978,0.9516153846153868
455,ZHO,Alfa Romeo,13.0,16.0,Lapped,99.12899999999999,1.0309999999999917,0.04899741641787463,1.7650000000000006,13.0,2023,Sakhir,False,99.2635,0.744499999999988,2.563833333333337
456,NOR,McLaren,11.0,17.0,Lapped,98.297,-2.8645000000000067,0.021644494047621046,1.6730000000000018,11.0,2023,Sakhir,False,98.078,-0.6809999999999974,0.09930909090909362
457,OCO,Alpine,9.0,18.0,Retired,99.53200000000001,1.3990000000000151,0.11310267857143066,1.2759999999999962,9.0,2023,Sakhir,True,98.478,0.35199999999998965,0.3163736842105286
458,LEC,Ferrari,3.0,19.0,Retired,98.477,0.2670000000000101,0.009123906313099808,0.2920000000000016,3.0,2023,Sakhir,True,97.74549999999999,-0.5545000000000044,-0.13570833333333301
459,PIA,McLaren,18.0,20.0,Retired,101.1615,2.8645000000000067,,2.3930000000000007,18.0,2023,Sakhir,True,98.759,0.6809999999999974,2.638600000000003
460,PER,Red Bull Racing,1.0,1.0,Finished,93.24799999999999,0.05499999999999261,-0.024160177975526432,0.0,1.0,2023,Jeddah,False,95.1695,-0.031999999999996476,-0.055069930069928864
461,VER,Red Bull Racing,15.0,2.0,Finished,93.193,-0.05499999999999261,-0.04769744160177796,21.688000000000002,15.0,2023,Jeddah,False,95.2015,0.031999999999996476,-1.2504779064779077
462,ALO,Aston Martin,2.0,3.0,Finished,94.09049999999999,-1.4975000000000023,-0.07947675194660837,0.4650000000000034,3.0,2023,Jeddah,False,95.247,-0.33100000000000307,0.1921748251748235
463,RUS,Mercedes,3.0,4.0,Finished,94.112,-0.09800000000001319,-0.0867982202447143,0.5919999999999987,4.0,2023,Jeddah,False,95.4795,0.07750000000000057,-1.5492214526214556
464,HAM,Mercedes,7.0,5.0,Finished,94.21000000000001,0.09800000000001319,-0.07750989988876289,0.9579999999999984,8.0,2023,Jeddah,False,95.402,-0.07750000000000057,-0.0270000000000069
465,SAI,Ferrari,4.0,6.0,Finished,94.4565,-0.22449999999999193,-0.09393481646273849,0.6659999999999968,5.0,2023,Jeddah,False,95.214,-0.24549999999999272,3.2780272727272775
466,LEC,Ferrari,12.0,7.0,Finished,94.681,0.22449999999999193,-0.06785850945495057,0.15500000000000114,2.0,2023,Jeddah,False,95.45949999999999,0.24549999999999272,-3.0575881918081924
467,OCO,Alpine,6.0,8.0,Finished,94.882,0.0800000000000125,-0.08093414905450522,0.8130000000000024,7.0,2023,Jeddah,False,95.327,-0.0040000000000048885,1.6719676236044672
468,GAS,Alpine,9.0,9.0,Finished,94.80199999999999,-0.0800000000000125,-0.08743036507153336,1.0919999999999987,10.0,2023,Jeddah,False,95.331,0.0040000000000048885,-0.9905687055476536
469,MAG,Haas F1 Team,13.0,10.0,Finished,95.304,-0.27250000000000796,-0.058542891037551906,1.3689999999999998,13.0,2023,Jeddah,False,97.3375,0.5685000000000002,-1.5138600000000015
470,TSU,AlphaTauri,16.0,11.0,Finished,95.4525,-0.3100000000000023,-0.07818375973303779,1.6739999999999924,16.0,2023,Jeddah,False,96.169,0.19149999999999068,-0.36792902711323633
471,HUL,Haas F1 Team,10.0,12.0,Finished,95.57650000000001,0.27250000000000796,-0.07895962318057295,1.1859999999999928,11.0,2023,Jeddah,False,96.769,-0.5685000000000002,2.4521866666666634
472,ZHO,Alfa Romeo,11.0,13.0,Finished,95.39850000000001,-0.8494999999999919,-0.05800231629915314,1.195999999999998,12.0,2023,Jeddah,False,96.201,-1.5640000000000072,3.06733476190476
473,DEV,AlphaTauri,18.0,14.0,Finished,95.7625,0.3100000000000023,-0.11001312569521746,1.9789999999999992,18.0,2023,Jeddah,False,95.9775,-0.19149999999999068,-1.2584662162162166
474,PIA,McLaren,8.0,15.0,Finished,95.63,0.06850000000000023,-0.0324667939514303,0.9779999999999944,9.0,2023,Jeddah,False,95.51,-0.2609999999999957,1.6079999999999959
475,SAR,Williams,20.0,16.0,Finished,95.947,-0.9484999999999957,-0.05355305895439215,40.24499999999999,20.0,2023,Jeddah,False,96.105,0.27000000000001023,2.0655925039872454
476,NOR,McLaren,19.0,17.0,Finished,95.5615,-0.06850000000000023,-0.04024469048296383,2.182000000000002,19.0,2023,Jeddah,False,95.771,0.2609999999999957,0.05325714285714408
477,BOT,Alfa Romeo,14.0,18.0,Lapped,96.248,0.8494999999999919,-0.049961471861470964,1.4030000000000058,14.0,2023,Jeddah,False,97.765,1.5640000000000072,-0.3593587209302296
478,ALB,Williams,17.0,19.0,Retired,96.8955,0.9484999999999957,-0.1962857142857142,1.7289999999999992,17.0,2023,Jeddah,True,95.835,-0.27000000000001023,2.1873346153846165
479,STR,Aston Martin,5.0,20.0,Retired,95.588,1.4975000000000023,,0.6799999999999926,6.0,2023,Jeddah,True,95.578,0.33100000000000307,1.151790863522449
480,VER,Red Bull Racing,1.0,1.0,Finished,81.92500000000001,-0.06349999999999056,-0.06701417587698254,0.0,1.0,2023,Melbourne,False,97.512,-1.0844999999999914,-1.89559999999998
481,HAM,Mercedes,3.0,2.0,Finished,82.12049999999999,-1.0385000000000133,-0.2112477058176124,0.3719999999999999,3.0,2023,Melbourne,False,85.571,-1.8300000000000125,0.3110357142857177
482,ALO,Aston Martin,4.0,3.0,Finished,82.025,-0.13949999999999818,-0.08980891630884735,0.4069999999999965,4.0,2023,Melbourne,False,80.427,-7.018500000000003,
483,STR,Aston Martin,6.0,4.0,Finished,82.1645,0.13949999999999818,-0.08815972857342162,0.5760000000000076,6.0,2023,Melbourne,False,87.44550000000001,7.018500000000003,0.4880999999999905
484,PER,Red Bull Racing,20.0,5.0,Finished,81.9885,0.06349999999999056,-0.11425286772798482,,20.0,2023,Melbourne,False,98.59649999999999,1.0844999999999914,2.9255999999999993
485,NOR,McLaren,13.0,6.0,Finished,82.31649999999999,-0.4270000000000209,-0.08247715118351841,1.3870000000000005,13.0,2023,Melbourne,False,93.398,0.26599999999999113,-0.253999999999988
