,Unnamed: 0,Driver,TeamName_x,GridPosition,Finish_Position,Status,delta_to_pole,Qual_Position,Year,Location,fp2_median_pace,fp2_team_dif,fp2_deg_rate
181,181,HAM,Mercedes,3.0,3.0,Finished,0.3179999999999978,3.0,2024,Barcelona,80.0865,-0.0970000000000084,2.1609300699300675
182,182,RUS,Mercedes,4.0,4.0,Finished,0.3200000000000074,4.0,2024,Barcelona,80.18350000000001,0.0970000000000084,3.568247058823536
183,183,LEC,Ferrari,5.0,5.0,Finished,0.347999999999999,5.0,2024,Barcelona,79.9905,-0.1705000000000041,4.424250000000002
184,184,SAI,Ferrari,6.0,6.0,Finished,0.3530000000000086,6.0,2024,Barcelona,80.161,0.1705000000000041,2.1062303578774153
185,185,PIA,McLaren,9.0,7.0,Finished,0.6280000000000001,10.0,2024,Barcelona,79.846,-0.3139999999999929,3.3987400000000036
186,186,PER,Red Bull Racing,11.0,8.0,Finished,0.6780000000000115,8.0,2024,Barcelona,80.931,1.316999999999993,2.989884848484848
187,187,GAS,Alpine,7.0,9.0,Finished,0.4740000000000037,7.0,2024,Barcelona,81.122,-0.7560000000000002,0.4197703703703688
188,188,OCO,Alpine,8.0,10.0,Finished,0.7420000000000044,9.0,2024,Barcelona,81.878,0.7560000000000002,0.5514672202797269
189,189,HUL,Haas F1 Team,13.0,11.0,Finished,0.9270000000000068,13.0,2024,Barcelona,81.442,0.1009999999999848,2.1065730769230746
190,190,ALO,Aston Martin,10.0,12.0,Lapped,0.7450000000000045,11.0,2024,Barcelona,81.769,0.8240000000000123,0.5190202551834174
191,191,ZHO,Kick Sauber,15.0,13.0,Lapped,1.355000000000004,15.0,2024,Barcelona,77.162,-4.134999999999991,0.1866785714285732
192,192,STR,Aston Martin,14.0,14.0,Lapped,0.9890000000000044,14.0,2024,Barcelona,80.945,-0.8240000000000123,1.31616666666667
193,193,RIC,RB,18.0,15.0,Lapped,1.6920000000000073,18.0,2024,Barcelona,81.5585,-0.4505000000000052,1.677449579831929
194,194,BOT,Kick Sauber,12.0,16.0,Lapped,0.8440000000000083,12.0,2024,Barcelona,81.297,4.134999999999991,2.487457085020244
195,195,MAG,Haas F1 Team,16.0,17.0,Lapped,1.554000000000002,16.0,2024,Barcelona,81.34100000000001,-0.1009999999999848,1.9661918367346916
196,196,ALB,Williams,20.0,18.0,Lapped,1.7700000000000102,19.0,2024,Barcelona,81.7815,0.3674999999999926,1.2355864468864473
197,197,TSU,RB,17.0,19.0,Lapped,1.602000000000004,17.0,2024,Barcelona,82.009,0.4505000000000052,0.068463541666667
198,198,SAR,Williams,19.0,20.0,Lapped,2.1260000000000048,20.0,2024,Barcelona,81.414,-0.3674999999999926,-0.3452988795518164
199,199,RUS,Mercedes,3.0,1.0,Finished,0.5260000000000105,3.0,2024,Spielberg,,,
200,200,PIA,McLaren,7.0,2.0,Finished,0.7340000000000089,7.0,2024,Spielberg,,,
