,Driver,TeamName_x,GridPosition,Finish_Position,Status,Median_lap_time,team_dif,Deg_Rate_Weighted,delta_to_pole,Qual_Position,Year,Location,dnf
130,GAS,AlphaTauri,17.0,11.0,Finished,80.32849999999999,-1.3910000000000053,-0.3934105425054724,2.283999999999992,17.0,2022,Monaco,False
131,OCO,Alpine,10.0,12.0,Finished,80.336,0.0040000000000048885,-0.34171369553175757,1.6709999999999923,10.0,2022,Monaco,False
132,RIC,McLaren,14.0,13.0,Finished,80.40950000000001,1.950000000000017,-0.3289786512186118,1.5879999999999939,14.0,2022,Monaco,False
133,STR,Aston Martin,18.0,14.0,Finished,81.111,0.6290000000000049,-0.4024569851471038,2.3019999999999925,18.0,2022,Monaco,False
134,LAT,Williams,19.0,15.0,+1 Lap,80.867,0.14700000000000557,-0.42306899055918384,3.027000000000001,19.0,2022,Monaco,False
135,ZHO,Alfa Romeo,20.0,16.0,+1 Lap,81.869,0.9139999999999873,-0.16336411362144992,4.22999999999999,20.0,2022,Monaco,False
136,TSU,AlphaTauri,11.0,17.0,+1 Lap,81.7195,1.3910000000000053,-0.29345960308241964,1.4209999999999923,11.0,2022,Monaco,False
137,ALB,Williams,16.0,18.0,Mechanical,80.72,-0.14700000000000557,-0.2990361197110411,2.2349999999999994,16.0,2022,Monaco,False
138,MSC,Haas F1 Team,15.0,19.0,Accident,96.8405,-0.9984999999999928,-0.5022887755102,1.7049999999999983,15.0,2022,Monaco,False
139,MAG,Haas F1 Team,13.0,20.0,Water pressure,97.839,0.9984999999999928,,1.5450000000000017,13.0,2022,Monaco,False
140,VER,Red Bull Racing,3.0,1.0,Finished,107.643,-0.3919999999999959,0.013975195595480912,0.3470000000000084,3.0,2022,Baku,False
141,PER,Red Bull Racing,2.0,2.0,Finished,108.035,0.3919999999999959,0.024870635673623055,0.2820000000000107,2.0,2022,Baku,False
142,RUS,Mercedes,5.0,3.0,Finished,109.078,-0.5009999999999906,-0.010351287631207472,1.3530000000000086,5.0,2022,Baku,False
143,HAM,Mercedes,7.0,4.0,Finished,109.579,0.5009999999999906,-0.03613881465570917,1.565000000000012,7.0,2022,Baku,False
144,GAS,AlphaTauri,6.0,5.0,Finished,109.561,-0.22149999999999181,-0.044863359399311756,1.4860000000000042,6.0,2022,Baku,False
145,VET,Aston Martin,9.0,6.0,Finished,109.54599999999999,-1.2820000000000107,-0.05937826571464049,1.7319999999999993,9.0,2022,Baku,False
146,ALO,Alpine,10.0,7.0,Finished,109.52250000000001,-1.2339999999999947,-0.05465892888193317,1.8140000000000072,10.0,2022,Baku,False
147,RIC,McLaren,12.0,8.0,Finished,110.131,0.346500000000006,-0.007305882352938179,2.2150000000000034,12.0,2022,Baku,False
148,NOR,McLaren,11.0,9.0,Finished,109.7845,-0.346500000000006,-0.08732128212532429,2.0390000000000015,11.0,2022,Baku,False
149,OCO,Alpine,13.0,10.0,Finished,110.7565,1.2339999999999947,0.022652941176475067,2.225999999999999,13.0,2022,Baku,False
150,BOT,Alfa Romeo,15.0,11.0,+1 Lap,110.44149999999999,-0.1595000000000084,-0.0530279411764674,3.085000000000008,15.0,2022,Baku,False
151,ALB,Williams,17.0,12.0,+1 Lap,110.1245,-1.1915000000000049,0.02507113543481002,3.3599999999999994,17.0,2022,Baku,False
152,TSU,AlphaTauri,8.0,13.0,+1 Lap,109.7825,0.22149999999999181,-0.03487420606148274,1.6970000000000027,8.0,2022,Baku,False
153,MSC,Haas F1 Team,20.0,14.0,+1 Lap,110.5365,-0.0625,0.03628243519443749,4.416000000000011,20.0,2022,Baku,False
154,LAT,Williams,18.0,15.0,+1 Lap,111.316,1.1915000000000049,0.025185937495052182,4.00800000000001,18.0,2022,Baku,False
155,STR,Aston Martin,19.0,16.0,Vibrations,110.828,1.2820000000000107,0.13779999999999815,4.0120000000000005,19.0,2022,Baku,False
156,MAG,Haas F1 Team,16.0,17.0,Power Unit,110.599,0.0625,0.04037165623221785,3.284000000000006,16.0,2022,Baku,False
157,ZHO,Alfa Romeo,14.0,18.0,Hydraulics,110.601,0.1595000000000084,0.10396072931276211,2.4310000000000116,14.0,2022,Baku,False
158,LEC,Ferrari,1.0,19.0,Power Unit,108.519,-0.6954999999999956,1.5111976439790589,0.0,1.0,2022,Baku,False
159,SAI,Ferrari,4.0,20.0,Hydraulics,109.2145,0.6954999999999956,,0.4549999999999983,4.0,2022,Baku,False
160,VER,Red Bull Racing,1.0,1.0,Finished,77.518,-2.1359999999999957,-0.012194670315535455,0.0,1.0,2022,Montréal,False
161,SAI,Ferrari,3.0,2.0,Finished,77.5205,-1.0499999999999972,-0.0019357375866286327,0.796999999999997,3.0,2022,Montréal,False
162,HAM,Mercedes,4.0,3.0,Finished,77.885,0.030500000000003524,-0.011330812057668357,1.5919999999999987,4.0,2022,Montréal,False
163,RUS,Mercedes,8.0,4.0,Finished,77.8545,-0.030500000000003524,-0.03606367848494719,2.2579999999999956,8.0,2022,Montréal,False
164,LEC,Ferrari,19.0,5.0,Finished,78.5705,1.0499999999999972,-0.09192571428571449,11.708999999999989,15.0,2022,Montréal,False
165,OCO,Alpine,7.0,6.0,Finished,78.5795,0.09950000000000614,-0.017743096165122027,2.2299999999999898,7.0,2022,Montréal,False
166,BOT,Alfa Romeo,11.0,7.0,Finished,78.8295,-0.27600000000001046,-0.04987647058823727,5.48899999999999,11.0,2022,Montréal,False
167,ZHO,Alfa Romeo,10.0,8.0,Finished,79.1055,0.27600000000001046,-0.021614132379250073,2.7309999999999945,10.0,2022,Montréal,False
168,ALO,Alpine,2.0,9.0,Finished,78.47999999999999,-0.09950000000000614,-0.018614132216355925,0.644999999999996,2.0,2022,Montréal,False
169,STR,Aston Martin,17.0,10.0,Finished,79.27,0.43300000000000693,-0.0893661764705883,14.23299999999999,18.0,2022,Montréal,False
170,RIC,McLaren,9.0,11.0,Finished,79.14349999999999,-0.12450000000001182,-0.004047009215135954,2.4499999999999886,9.0,2022,Montréal,False
171,VET,Aston Martin,16.0,12.0,Finished,78.83699999999999,-0.43300000000000693,0.00103613765095014,13.212999999999994,17.0,2022,Montréal,False
172,ALB,Williams,12.0,13.0,Finished,79.248,-0.6490000000000009,-0.022084120803958027,5.5589999999999975,12.0,2022,Montréal,False
173,GAS,AlphaTauri,15.0,14.0,Finished,78.86949999999999,-0.5005000000000166,0.009401052783886414,13.192999999999998,16.0,2022,Montréal,False
174,NOR,McLaren,14.0,15.0,Finished,79.268,0.12450000000001182,0.02685981803600776,12.766999999999996,14.0,2022,Montréal,False
175,LAT,Williams,18.0,16.0,Finished,79.897,0.6490000000000009,0.024267539922973674,14.36099999999999,19.0,2022,Montréal,False
176,MAG,Haas F1 Team,5.0,17.0,Finished,79.474,-0.027999999999991587,0.028022134692728295,1.6609999999999872,5.0,2022,Montréal,False
177,TSU,AlphaTauri,20.0,18.0,Accident,79.37,0.5005000000000166,0.023372066127487472,15.275999999999996,20.0,2022,Montréal,False
178,MSC,Haas F1 Team,6.0,19.0,Engine,79.502,0.027999999999991587,,2.056999999999988,6.0,2022,Montréal,False
179,PER,Red Bull Racing,13.0,20.0,Gearbox,79.654,2.1359999999999957,,11.827999999999989,13.0,2022,Montréal,False
180,SAI,Ferrari,1.0,1.0,Finished,92.74199999999999,-0.05400000000001626,-0.015948993042107354,0.0,1.0,2022,Silverstone,False
181,PER,Red Bull Racing,4.0,2.0,Finished,92.937,-1.2340000000000089,-0.05907188978576181,0.6329999999999956,4.0,2022,Silverstone,False
182,HAM,Mercedes,5.0,3.0,Finished,92.655,,-0.3412574946114897,1.0120000000000005,5.0,2022,Silverstone,False
183,LEC,Ferrari,3.0,4.0,Finished,92.796,0.05400000000001626,-0.35206936039705433,0.3149999999999977,3.0,2022,Silverstone,False
184,ALO,Alpine,7.0,5.0,Finished,93.983,-1.0124999999999886,-0.24497322239729388,1.1329999999999956,7.0,2022,Silverstone,False
185,NOR,McLaren,6.0,6.0,Finished,93.945,-0.6990000000000123,-0.24220387572435526,1.100999999999999,6.0,2022,Silverstone,False
186,VER,Red Bull Racing,2.0,7.0,Finished,94.171,1.2340000000000089,0.004048396048399489,0.07200000000000273,2.0,2022,Silverstone,False
187,MSC,Haas F1 Team,19.0,8.0,Finished,94.5405,-0.4300000000000068,-0.23979624202328495,1.7249999999999943,19.0,2022,Silverstone,False
188,VET,Aston Martin,18.0,9.0,Finished,94.379,-0.3219999999999885,-0.06101230288149685,1.6829999999999927,18.0,2022,Silverstone,False
189,MAG,Haas F1 Team,17.0,10.0,Finished,94.9705,0.4300000000000068,-0.2588678517038496,1.176000000000002,17.0,2022,Silverstone,False
190,STR,Aston Martin,20.0,11.0,Finished,94.701,0.3219999999999885,-0.3111068053219568,2.4470000000000027,20.0,2022,Silverstone,False
191,LAT,Williams,10.0,12.0,Finished,95.0025,,-0.29373429787333133,22.111999999999995,10.0,2022,Silverstone,False
192,RIC,McLaren,14.0,13.0,Finished,94.644,0.6990000000000123,-0.2743903743315512,3.372,14.0,2022,Silverstone,False
